date,mean_temperature,rainfall,,
5/4/2016,34,0,,
5/5/2016,31,0,,
5/6/2016,28,5,,
5/7/2016,30,0,,
5/8/2016,34,0,,
5/9/2016,34,0,,
5/10/2016,34,0.3,,
5/11/2016,32,0.8,,
5/12/2016,34,2,,
5/13/2016,34,0.3,,
5/14/2016,35,0,,
5/15/2016,36,0,,
5/16/2016,36,0,,
5/17/2016,35,3,,
5/18/2016,36,0,,
5/19/2016,38,0,,
5/20/2016,38,0,,
5/21/2016,38,0,,
5/22/2016,38,0,,
5/23/2016,34,0,,
5/24/2016,32,0.5,,
5/25/2016,34,0,,
5/26/2016,34,0,,
5/27/2016,36,0,,
5/28/2016,35,255,,
5/29/2016,33,255,,
5/30/2016,32,255,,
5/31/2016,34,255,,
6/1/2016,35,0,,
6/2/2016,36,0,,
6/3/2016,38,0,,
6/4/2016,38,0,,
6/5/2016,38,0,,
6/6/2016,36,0,,
6/7/2016,38,0,,
6/8/2016,38,0,,
6/9/2016,36,0,,
6/10/2016,37,0,,
6/11/2016,34,0,,
6/12/2016,34,0,,
6/13/2016,35,0,,
6/14/2016,34,0,,
6/15/2016,34,0,,
6/16/2016,35,0,,
6/17/2016,36,0,,
6/18/2016,36,0,,
6/19/2016,35,0,,
6/20/2016,35,0,,
6/21/2016,34,0,,
6/22/2016,32,3,,
6/23/2016,34,0,,
6/24/2016,34,0,,
6/25/2016,34,0,,
6/26/2016,34,2,,
6/27/2016,34,0.2,,
6/28/2016,30,4,,
6/29/2016,32,0,,
6/30/2016,36,0,,
7/1/2016,28,0,,
7/2/2016,26,6,,
7/3/2016,28,0,,
7/4/2016,30,0,,
7/5/2016,32,0,,
7/6/2016,34,0,,
7/7/2016,33,0,,
7/8/2016,33,0,,
7/9/2016,32,0,,
7/10/2016,31,0.7,,
7/11/2016,29,16,,
7/12/2016,28,0.2,,
7/13/2016,30,5,,
7/14/2016,30,0,,
7/15/2016,26,0.6,,
7/16/2016,26,23,,
7/17/2016,27,51,,
7/18/2016,28,0,,
7/19/2016,30,0,,
7/20/2016,30,0,,
7/21/2016,32,0,,
7/22/2016,32,0,,
7/23/2016,32,0,,
7/24/2016,30,0,,
7/25/2016,30,0,,
7/26/2016,30,0,,
7/27/2016,27,0,,
7/28/2016,28,6,,
7/29/2016,27,36,,
7/30/2016,28,21,,
7/31/2016,28,9,,
8/1/2016,28,0,,
8/2/2016,26,9,,
8/3/2016,28,35,,
8/4/2016,27,16,,
8/5/2016,28,15,,
8/6/2016,66,0,,
8/7/2016,29,0,,
8/8/2016,28,0,,
8/9/2016,28,23,,
8/10/2016,26,2,,
8/11/2016,25,2,,
8/12/2016,26,5,,
8/13/2016,28,0,,
8/14/2016,28,0,,
8/15/2016,178,0,,
8/16/2016,27,0,,
8/17/2016,28,0,,
8/18/2016,26,2,,
8/19/2016,28,2,,
8/20/2016,28,0.2,,
8/21/2016,24,0.1,,
8/22/2016,26,0.8,,
8/23/2016,26,0.3,,
8/24/2016,26,7,,
8/25/2016,27,14,,
8/26/2016,31,0,,
8/27/2016,28,0,,
8/28/2016,26,0,,
8/29/2016,28,18,,
8/30/2016,28,0,,
8/31/2016,30,4,,
9/1/2016,26,8,,
9/2/2016,28,0.8,,
9/3/2016,28,0,,
9/4/2016,100,0,,
9/5/2016,28,0,,
9/6/2016,28,0,,
9/7/2016,28,0,,
9/8/2016,29,0,,
9/9/2016,28,255,,
9/10/2016,28,255,,
9/11/2016,29,255,,
9/12/2016,28,255,,
9/13/2016,30,255,,
9/14/2016,28,255,,
9/15/2016,30,255,,
9/16/2016,30,255,,
9/17/2016,30,0,,
9/18/2016,30,0,,
9/19/2016,30,0,,
9/20/2016,32,0,,
9/21/2016,32,0,,
9/22/2016,30,0,,
9/23/2016,28,0,,
9/24/2016,26,57,,
9/25/2016,28,0,,
9/26/2016,28,0,,
9/27/2016,30,0,,
9/28/2016,30,0,,
9/29/2016,30,0,,
9/30/2016,30,0,,
10/1/2016,30,0,,
10/2/2016,31,0,,
10/3/2016,31,0,,
10/4/2016,30,2,,
10/5/2016,27,0,,
10/6/2016,26,13,,
10/7/2016,28,0.9,,
10/8/2016,28,0,,
10/9/2016,30,0,,
10/10/2016,28,0,,
10/11/2016,256,0,,
10/12/2016,28,0,,
10/13/2016,28,0,,
10/14/2016,28,0,,
10/15/2016,28,0,,
10/16/2016,27,0,,
10/17/2016,26,0,,
10/18/2016,26,0,,
10/19/2016,28,0,,
10/20/2016,28,0,,
10/21/2016,28,0,,
10/22/2016,28,0,,
10/23/2016,28,0,,
